ID,Marital Status,Gender,Income,Children,Education,Occupation,Home Owner,Cars,Commute Distance,Region,Age,Purchased Bike,Age Brackets
12496,M,F,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,42,No,32-54
24107,M,M,"$30,000.00",3,Partial College,Clerical,Yes,1,0-1 Miles,Europe,43,No,32-54
14177,M,M,"$80,000.00",5,Partial College,Professional,No,2,2-5 Miles,Europe,60,No,55-89
24381,S,M,"$70,000.00",0,Bachelors,Professional,Yes,1,5-10 Miles,Pacific,41,Yes,32-54
25597,S,M,"$30,000.00",0,Bachelors,Clerical,No,0,0-1 Miles,Europe,36,Yes,32-54
13507,M,F,"$10,000.00",2,Partial College,Manual,Yes,0,1-2 Miles,Europe,50,No,32-54
27974,S,M,"$160,000.00",2,High School,Management,Yes,4,0-1 Miles,Pacific,33,Yes,32-54
19364,M,M,"$40,000.00",1,Bachelors,Skilled Manual,Yes,0,0-1 Miles,Europe,43,Yes,32-54
22155,M,M,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,58,No,55-89
19280,M,M,"$120,000.00",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,40,Yes,32-54
22173,M,F,"$30,000.00",3,High School,Skilled Manual,No,2,1-2 Miles,Pacific,54,Yes,32-54
12697,S,F,"$90,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,36,No,32-54
11434,M,M,"$170,000.00",5,Partial College,Professional,Yes,0,0-1 Miles,Europe,55,No,55-89
25323,M,M,"$40,000.00",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes,32-54
23542,S,M,"$60,000.00",1,Partial College,Skilled Manual,No,1,0-1 Miles,Pacific,45,Yes,32-54
20870,S,F,"$10,000.00",2,High School,Manual,Yes,1,0-1 Miles,Europe,38,Yes,32-54
23316,S,M,"$30,000.00",3,Partial College,Clerical,No,2,1-2 Miles,Pacific,59,Yes,55-89
12610,M,F,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,47,No,32-54
27183,S,M,"$40,000.00",2,Partial College,Clerical,Yes,1,1-2 Miles,Europe,35,Yes,32-54
25940,S,M,"$20,000.00",2,Partial High School,Clerical,Yes,2,5-10 Miles,Pacific,55,Yes,55-89
25598,M,F,"$40,000.00",0,Graduate Degree,Clerical,Yes,0,0-1 Miles,Europe,36,Yes,32-54
21564,S,F,"$80,000.00",0,Bachelors,Professional,Yes,4,10+ Miles,Pacific,35,No,32-54
19193,S,M,"$40,000.00",2,Partial College,Clerical,Yes,0,1-2 Miles,Europe,35,Yes,32-54
26412,M,F,"$80,000.00",5,High School,Management,No,3,5-10 Miles,Europe,56,No,55-89
27184,S,M,"$40,000.00",2,Partial College,Clerical,No,1,0-1 Miles,Europe,34,No,32-54
12590,S,M,"$30,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,63,No,55-89
17841,S,M,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,29,Yes,25-31
18283,S,F,"$100,000.00",0,Bachelors,Professional,No,1,5-10 Miles,Pacific,40,No,32-54
18299,M,M,"$70,000.00",5,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,44,No,32-54
16466,S,F,"$20,000.00",0,Partial High School,Manual,No,2,0-1 Miles,Europe,32,Yes,32-54
19273,M,F,"$20,000.00",2,Partial College,Manual,Yes,0,0-1 Miles,Europe,63,No,55-89
22400,M,M,"$10,000.00",0,Partial College,Manual,No,1,0-1 Miles,Pacific,26,Yes,25-31
20942,S,F,"$20,000.00",0,High School,Manual,No,1,5-10 Miles,Europe,31,No,25-31
18484,S,M,"$80,000.00",2,High School,Skilled Manual,No,2,1-2 Miles,Pacific,50,Yes,32-54
12291,S,M,"$90,000.00",5,Partial College,Professional,No,2,2-5 Miles,Europe,62,Yes,55-89
28380,S,F,"$10,000.00",5,Partial High School,Manual,No,2,0-1 Miles,Europe,41,No,32-54
17891,M,F,"$10,000.00",2,Partial College,Manual,Yes,1,0-1 Miles,Europe,50,Yes,32-54
27832,S,F,"$30,000.00",0,Partial College,Clerical,No,1,2-5 Miles,Europe,30,No,25-31
26863,S,M,"$20,000.00",0,High School,Manual,No,1,2-5 Miles,Europe,28,No,25-31
16259,S,F,"$10,000.00",4,Partial High School,Manual,Yes,2,0-1 Miles,Europe,40,Yes,32-54
27803,S,F,"$30,000.00",2,Partial College,Clerical,No,0,0-1 Miles,Europe,43,No,32-54
14347,S,F,"$40,000.00",2,Bachelors,Management,Yes,2,5-10 Miles,Pacific,65,Yes,55-89
17703,M,F,"$10,000.00",1,Graduate Degree,Manual,Yes,0,0-1 Miles,Europe,40,No,32-54
17185,M,F,"$170,000.00",4,Partial College,Professional,No,3,5-10 Miles,Europe,48,Yes,32-54
29380,M,F,"$20,000.00",3,High School,Manual,Yes,0,0-1 Miles,Europe,41,Yes,32-54
23986,M,F,"$20,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,66,Yes,55-89
24466,M,F,"$60,000.00",1,Partial College,Skilled Manual,Yes,1,5-10 Miles,Pacific,46,Yes,32-54
29097,S,F,"$40,000.00",2,Partial College,Skilled Manual,Yes,2,5-10 Miles,Pacific,52,Yes,32-54
19487,M,M,"$30,000.00",2,Partial College,Clerical,No,2,0-1 Miles,Europe,42,No,32-54
14939,S,M,"$40,000.00",0,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,39,Yes,32-54
13826,S,F,"$30,000.00",0,Partial College,Clerical,No,1,0-1 Miles,Europe,28,No,25-31
20619,S,M,"$80,000.00",0,Bachelors,Professional,No,4,10+ Miles,Pacific,35,No,32-54
12558,M,F,"$20,000.00",1,Bachelors,Clerical,Yes,0,0-1 Miles,Europe,65,No,55-89
24871,S,F,"$90,000.00",4,High School,Management,No,3,5-10 Miles,Europe,56,No,55-89
